sim1	18157.14
sim2	9561.158
sim4	3189.731
sim15	854.7564
sim17	6576.063
sim25	16681.89
sim28	4515.697
sim34	944.4797
sim36	7884.942
sim37	1111.821
sim42	1114.407
sim48	7420.771
sim51	17550.68
sim52	1853.533
sim54	2322.491
sim62	731.4303
sim67	3177.181
sim69	5845.108
sim72	12255.23
sim73	10994.74
sim76	4426.471
sim83	12487.2
sim84	3795.485
sim85	1395.029
sim94	7315.55
sim96	1760.776
sim99	975.3046
sim101	5636.299
sim102	761.4128
sim105	19564.05
sim107	1190.78
sim108	1254.797
sim119	4882.656
sim120	16945.46
sim124	4902.104
sim125	4804.016
sim132	1309.461
sim139	1499.759
sim141	18309.47
sim143	1524.84
sim144	1300.312
sim149	3583.638
sim152	16025.67
sim153	7865.753
sim156	1704.744
sim157	1134.668
sim160	733.7974
sim163	2874.202
sim175	7671.92
sim183	4346.022
sim192	910.8331
sim195	14779.1
sim199	900.7192
sim201	18762.83
sim202	14790.54
sim203	1227.475
sim207	979.022
sim210	3979.347
sim216	14330.52
sim219	1531.662
sim220	3250.314
sim224	10286.83
sim225	8770.102
sim226	14399.78
sim230	5517.154
sim231	5113.265
sim234	19279.12
sim235	3368.557
sim239	11426.54
sim242	15595.35
sim247	11660.68
sim248	2463.002
sim249	15593.45
sim254	17887.19
sim256	3868.337
sim259	1468.832
sim262	4270.346
sim268	18310.15
sim277	12814.58
sim278	5694.264
sim279	9377.511
sim280	1895.994
sim282	1218.334
sim284	13156.16
sim285	3796.034
sim291	16337.12
sim298	18592.49
sim301	3147.479
sim306	990.8187
sim312	1442.678
sim314	1296.398
sim317	1152.334
sim325	14724.89
sim326	7418.722
sim333	14036.31
sim334	7060.102
sim336	11266.75
sim338	12104.9
sim339	1689.299
sim340	10144.71
sim341	1303.097
sim343	925.4488
sim345	7383.207
sim350	14019.88
sim355	17503.91
sim361	2301.476
sim373	8180.115
sim375	9305.078
sim379	3956.982
sim403	1359.725
sim406	17708.1
sim407	3043.034
sim411	5667.736
sim414	14618.5
sim415	17593.76
sim418	15934.01
sim419	773.9908
sim422	14428.98
sim424	1378.128
sim425	3342.245
sim434	6640.297
sim437	7284.667
sim438	13322.94
sim441	7082.07
sim444	14887.84
sim452	3005.633
sim455	860.282
sim459	3261.723
sim461	1998.899
sim466	3878.016
sim470	16993.83
sim475	924.1531
sim478	8293.549
sim483	2746.888
sim487	1521.272
sim489	3018.443
sim491	2558.66
sim497	6509.777
